ID,TRACTCE10,GEOID10,NAME10,NAMELSAD10,Long,Lat,State,County,Smoking,Binge Drinking,Physical Inactivity,Sleep<7hours,Opioid Overdose,High Cholesterol,Obesity,High Blood Pressure,Depression,Kidney Diseases,Land Surface Temperature,Air Temperature,Solar_DNI,Wind Speed,Precipitation,Socioeconomic Status,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,Aerosol ,Nitrogen Dioxide ,Carbon Monoxide ,Sulfur Dioxide ,Formaldehyde ,Ozone ,Diabetes
700,831400,17031831400,8314,Census Tract 8314,-87.756088,41.869118,ILLINOIS,Cook,20.6,11.3,12.4,41.8,97.84075574,29.5,39.2,40.1,14.5,3.7,23.984,10.614185,1552.780029,4.2,82.7508,0.794458,0.884769,0.893169,0.65215,-0.4,0.000173,0.034049,0.000325,0.000112,0.144914,15.2
689,821402,17031821400,8214.02,Census Tract 8214.02,-87.652132,41.662275,ILLINOIS,Cook,15.9,11.2,9.8,42.2,47.39336493,29,38.2,40.6,13.3,3.3,21.688,10.5729,1529.380005,4.14167,81.5458,0.607584,0.700835,0.294631,0.671371,-0.49,0.000159,0.033811,0.00028,0.000111,0.144615,13.8
46,31300,17031031300,313,Census Tract 313,-87.646785,41.97291,ILLINOIS,Cook,14.8,12.8,9.5,34.1,15.54550594,30.7,28.8,33.2,14.1,3.1,18.868,10.411685,1491.599976,4.23333,79.1692,0.541775,0.780603,0.829189,0.454377,-0.512932,0.000156418,0.0343804,0.000289649,0.000105071,0.145063,11.5
26,30101,17031030100,301.01,Census Tract 301.01,-87.654668,41.991271,ILLINOIS,Cook,14,13.5,8.9,33.9,28.25584382,29.3,29.4,31.4,14.4,2.8,17.958,10.393315,1488.119995,4.23333,79.1967,0.741736,0.856458,0.514732,0.366275,-0.515952,0.000155211,0.0343719,0.000302399,9.91E-05,0.14521,10.3
27,30102,17031030100,301.02,Census Tract 301.02,-87.655132,41.993397,ILLINOIS,Cook,11.9,15.2,7.4,33,21.84769039,27.4,28.1,27.7,14.6,2.4,17.958,10.393315,1488.47998,4.23333,79.1967,0.581465,0.687847,0.684213,0.27286,-0.515952,0.000155211,0.0343719,0.000302399,9.91E-05,0.14521,8.4
28,30103,17031030100,301.03,Census Tract 301.03,-87.654695,41.99538,ILLINOIS,Cook,10.8,17.8,5.8,32.2,10.37344398,20.4,23.6,19.5,15.6,1.6,17.958,10.393315,1489.119995,4.23333,79.1967,0.545569,0.736092,0.350622,0.053161,-0.515952,0.000155211,0.0343719,0.000302399,9.91E-05,0.14521,5.5
29,30104,17031030100,301.04,Census Tract 301.04,-87.655643,41.997277,ILLINOIS,Cook,11.8,16.2,6.9,32,0,19.8,22.3,19.3,17.8,1.8,18.514,10.355835,1489.119995,4.23333,79.1358,0.761166,0.720811,0.391106,0.056236,-0.515952,0.000155211,0.0343719,0.000302399,9.91E-05,0.14521,5.9
5,10400,17031010400,104,Census Tract 104,-87.657167,42.00544,ILLINOIS,Cook,11.9,16.6,6.9,32.1,17.8500595,20.4,24.9,20,17.7,1.8,18.514,10.2446,1487.969971,4.23333,79.0667,0.461785,0.601886,0.623626,0.050675,-0.52617,0.000153299,0.0343529,0.000306919,9.86E-05,0.145281,5.8
499,510300,17031510300,5103,Census Tract 5103,-87.574973,41.715738,ILLINOIS,Cook,23.3,9,16.1,45.6,22.3880597,32.8,45.7,50.9,15.2,5.5,22.442,10.813315,1514.359985,4.15,79.8642,0.583985,0.516063,0.870199,0.782594,-0.499885,0.000164006,0.0343525,0.00028692,0.000109117,0.144558,21.4
136,81401,17031081400,814.01,Census Tract 814.01,-87.619752,41.895039,ILLINOIS,Cook,6.5,13.2,5.9,26.6,43.87889425,30.1,21.2,27.4,13.1,2.5,18.06,10.614585,1464.290039,4.225,78.875,0.274495,0.407408,0.459281,0.359342,-0.483222,0.000170149,0.0343379,0.000354126,0.000105114,0.144853,7.3
