,FIPS,Crime prevelance,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,Binge Drinking,Smoking,Depression,Physical Inactivity,Sleep<7hours
0,17031010100,15860,0.7682,0.5587,0.7116,0.9007,35.0,15.2,2.0,0.0,13.8,16.4,15.6,26.2,37.5
1,17031010201,12576,0.7892,0.7107,0.797,0.9933,33.7,23.4,5.4,0.1,13.9,20.5,16.3,32.2,38.7
2,17031010202,14869,0.9296,0.615,0.8031,0.9987,32.5,26.3,6.3,0.0,13.4,19.1,15.7,31.6,37.3
3,17031010300,11975,0.7829,0.2771,0.6756,0.9681,29.2,15.0,2.4,0.1,14.2,14.5,14.7,25.3,34.1
4,17031010400,8040,0.6724,0.1049,0.5145,0.9588,18.6,7.9,4.4,0.0,16.6,11.9,17.7,20.3,32.1
5,17031010501,7234,0.66,0.1186,0.677,0.8008,33.9,7.7,6.3,0.0,15.4,12.6,14.8,21.5,34.0
6,17031010502,4772,0.6957,0.1066,0.6587,0.9537,21.3,15.7,8.5,0.0,16.7,14.8,16.9,22.3,34.8
7,17031010503,3435,0.7196,0.8055,0.5053,0.9083,11.8,3.9,10.3,0.0,12.7,16.8,17.7,32.8,33.6
8,17031010600,12753,0.5658,0.0243,0.6417,0.9018,20.9,14.5,4.6,0.0,15.9,14.8,16.0,23.2,34.5
9,17031010701,4595,0.8129,0.5613,0.7228,0.6729,22.5,26.1,7.6,0.0,15.3,13.5,14.6,23.7,34.0
10,17031010702,10793,0.9023,0.6143,0.8202,0.9501,33.4,32.0,6.3,0.0,15.8,16.1,15.4,27.4,35.9
11,17031020100,6198,0.8595,0.2916,0.8235,0.8717,36.3,25.1,4.8,0.0,13.2,15.2,14.3,27.2,35.4
12,17031020200,6179,0.6053,0.5239,0.7294,0.6401,8.0,26.9,16.7,0.0,12.8,12.3,14.0,23.7,31.7
13,17031020301,2756,0.7275,0.9284,0.3724,0.7796,2.3,5.6,10.4,0.2,11.5,10.7,14.1,24.4,28.3
14,17031020302,5783,0.3504,0.7005,0.5042,0.8344,4.5,11.4,11.5,0.0,13.5,11.6,14.2,22.8,31.0
15,17031020400,5391,0.7498,0.145,0.766,0.8973,22.1,28.3,9.6,0.0,13.7,13.3,14.3,24.3,33.0
16,17031020500,10164,0.9928,0.7839,0.8935,0.9396,14.6,24.9,43.0,0.0,11.7,20.3,15.1,35.7,37.2
17,17031020601,7312,0.8365,0.8639,0.5369,0.8298,6.6,4.3,17.3,1.0,12.5,19.7,16.6,32.6,35.1
18,17031020602,7180,0.5655,0.4892,0.7021,0.7464,11.5,20.7,19.9,0.0,12.1,15.6,14.2,29.8,34.2
19,17031020701,4344,0.609,0.3842,0.5019,0.1861,5.8,13.2,9.8,0.0,12.6,11.5,13.4,22.7,30.6
