,NAME10,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Crime,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,SVI
0,101.0,0.7721,0.5522,0.7028,0.9275,13132,35.0,15.2,2.0,0.0,0.8544
1,102.01,0.7859,0.7549,0.7832,0.9966,10777,33.7,23.4,5.4,0.1,0.9681
2,102.02,0.9211,0.613,0.7866,0.9991,12830,32.5,26.3,6.3,0.0,0.9911
3,103.0,0.7681,0.2998,0.6767,0.9757,10431,29.2,15.0,2.4,0.1,0.84
4,104.0,0.6916,0.1262,0.5161,0.9721,7052,18.6,7.9,4.4,0.0,0.711
5,105.01,0.6821,0.1296,0.6773,0.8449,6044,33.9,7.7,6.3,0.0,0.644
6,105.02,0.7045,0.1247,0.6607,0.9644,4321,21.3,15.7,8.5,0.0,0.7331
7,105.03,0.7064,0.8157,0.5051,0.9416,3091,11.8,3.9,10.3,0.0,0.8553
8,106.0,0.6004,0.0313,0.6432,0.9257,10931,20.9,14.5,4.6,0.0,0.5405
9,107.01,0.7994,0.5817,0.7138,0.6987,4168,22.5,26.1,7.6,0.0,0.7776
10,107.02,0.899,0.6327,0.801,0.9567,8859,33.4,32.0,6.3,0.0,0.9472
11,201.0,0.8553,0.2973,0.8035,0.8848,5604,36.3,25.1,4.8,0.0,0.8342
12,202.0,0.629,0.5451,0.7178,0.6536,5535,8.0,26.9,16.7,0.0,0.6711
13,203.01,0.7386,0.9613,0.3675,0.8148,2508,2.3,5.6,10.4,0.2,0.8517
14,203.02,0.3971,0.7512,0.5041,0.8547,5252,4.5,11.4,11.5,0.0,0.6394
15,204.0,0.7482,0.1308,0.755,0.9407,4799,22.1,28.3,9.6,0.0,0.7512
16,205.0,0.9889,0.8176,0.8563,0.9432,9084,14.6,24.9,43.0,0.0,0.9871
17,206.01,0.8363,0.8937,0.5422,0.848,6619,6.6,4.3,17.3,1.0,0.8974
