iter	RMSE
0	0.6317273845
1	0.6217918047
2	0.6122601899
3	0.6036159089
4	0.5947791934
5	0.5864842697
6	0.5787243079
7	0.5719207881
8	0.5658539377
9	0.5581766323
10	0.5516088078
11	0.5443901223
12	0.5388081042
13	0.5320243346
14	0.5268182146
15	0.520554877
16	0.5149854728
17	0.5085266144
18	0.5030441102
19	0.4976582336
20	0.4924352435
21	0.4890194075
22	0.4853031999
23	0.4804120397
24	0.4767236162
25	0.472163642
26	0.4683597242
27	0.464365899
28	0.4608885609
29	0.4568446624
30	0.4532688378
31	0.45007946
32	0.4463656678
33	0.4434914746
34	0.4411944575
35	0.4386473826
36	0.4344492237
37	0.4315323767
38	0.4285603543
39	0.4254597038
40	0.4226184348
41	0.4191857152
42	0.4169724743
43	0.4146244009
44	0.4115886196
45	0.408520967
46	0.4057245658
47	0.4032460884
48	0.4010669998
49	0.3985213937
50	0.3967721329
51	0.3945453664
52	0.3923341146
53	0.3912773971
54	0.3884885947
55	0.3865204705
56	0.3846818341
57	0.3831991976
58	0.381157775
59	0.3790664775
60	0.3773328475
61	0.3755758016
62	0.3736310184
63	0.3715214853
64	0.3686374303
65	0.3673834137
66	0.3649669489
67	0.363337293
68	0.3616406387
69	0.3599153536
70	0.3584316317
71	0.3568688862
72	0.3556721944
73	0.3546102476
74	0.3535328939
75	0.3522392074
76	0.3508243273
77	0.3492248566
78	0.3477792131
79	0.3466298443
80	0.3453268084
81	0.3437946887
82	0.3423810831
83	0.3414147415
84	0.3406553606
85	0.3391827288
86	0.3373765368
87	0.3361672799
88	0.3348763896
89	0.3330581252
90	0.3322445633
91	0.3313894807
92	0.3298319253
93	0.3283985339
94	0.3275112074
95	0.3264554755
96	0.325299075
97	0.3242482841
98	0.3231416234
99	0.3219687069
100	0.3210306401
101	0.3197129465
102	0.3182387377
103	0.3174637574
104	0.316024459
105	0.3148002294
106	0.3135131239
107	0.3126463135
108	0.3115965208
109	0.3107428802
110	0.3095501633
111	0.3084753012
112	0.3075892299
113	0.3065792217
114	0.3058545449
115	0.305512326
116	0.3045135552
117	0.3040721164
118	0.3033333323
119	0.3019996066
120	0.3011487422
121	0.2998713048
122	0.2986596443
123	0.2981931527
124	0.2968826355
125	0.2955102137
126	0.2945660792
127	0.2932769639
128	0.2923970346
129	0.2912442298
130	0.2902297014
131	0.2892838445
132	0.2885114105
133	0.2876648724
134	0.2867088348
135	0.2861635895
136	0.2850375784
137	0.2839021421
138	0.2830366745
139	0.2820859528
140	0.2816347617
141	0.2810709772
142	0.2802396714
143	0.2792430122
144	0.2780184071
145	0.2767987731
146	0.2750942427
147	0.2742339955
148	0.2734054141
149	0.2720125999
150	0.2714519195
151	0.2705495849
152	0.2695499421
153	0.2686620388
154	0.2680881023
155	0.2672068743
156	0.2668512061
157	0.2658889199
158	0.2653258272
159	0.2647310727
160	0.2637597646
161	0.2630444862
162	0.2619466596
163	0.260938107
164	0.2603617716
165	0.2593753121
166	0.258575731
167	0.2582504734
168	0.257587008
169	0.2561184883
170	0.2558233501
171	0.2548156005
172	0.2539088286
173	0.2530842421
174	0.2523153419
175	0.2514922652
176	0.2505717828
177	0.2496172474
178	0.2486292128
179	0.2467033305
180	0.2461716102
181	0.2453041035
182	0.2446413733
183	0.2436881724
184	0.2435088226
185	0.2420560178
186	0.2410025113
187	0.240155057
188	0.2393872993
189	0.238308552
190	0.2377824337
191	0.2372541325
192	0.236444369
193	0.2352192747
194	0.2347388112
195	0.2337609522
196	0.2325727329
197	0.2318737775
198	0.2316593886
199	0.2307576373
200	0.2297586174
201	0.2293604297
202	0.2280508429
203	0.2269400654
204	0.2261037782
205	0.2253942316
206	0.2248177101
207	0.2234568574
208	0.2225574094
209	0.2215750582
210	0.2212662023
211	0.220129999
212	0.2193601877
213	0.2186889383
214	0.2183347377
215	0.2178648916
216	0.2173763174
217	0.2166360043
218	0.2160848058
219	0.2157905605
220	0.2151091681
221	0.2147877452
222	0.2141161591
223	0.2126697222
224	0.2117161198
225	0.2114679926
226	0.2106333034
227	0.2099567864
228	0.2087335551
229	0.2076603292
230	0.2070027635
231	0.2058886971
232	0.2049664073
233	0.2042686032
234	0.2029474821
235	0.201622237
236	0.200627444
237	0.1994853529
238	0.199213074
239	0.1978175747
240	0.197110247
241	0.1960994743
242	0.1957306449
243	0.1947999759
244	0.1941982677
245	0.1939734428
246	0.193386651
247	0.1927857813
248	0.1921446305
249	0.1913505099
250	0.1909054642
251	0.1898523371
252	0.1887659801
253	0.1882470165
254	0.1873010546
255	0.1868117712
256	0.1861943416
257	0.1859247648
258	0.1852249809
259	0.1847954373
260	0.1841416764
261	0.1832263124
262	0.1822290836
263	0.1812695128
264	0.1807435463
265	0.1800701014
266	0.1793558482
267	0.1787507044
268	0.178508757
269	0.1777896591
270	0.1771274189
271	0.1764355667
272	0.1759752065
273	0.1752326806
274	0.1746379559
275	0.1741091228
276	0.1739113847
277	0.1729577606
278	0.1722954545
279	0.171271835
280	0.1708849543
281	0.1701858761
282	0.1696317853
283	0.1692841945
284	0.1686092812
285	0.1675720472
286	0.1665591815
287	0.1658369307
288	0.1653463289
289	0.165059484
290	0.164236118
291	0.1634974811
292	0.1629510716
293	0.1621227192
294	0.1615880721
295	0.1611627418
296	0.1604160787
297	0.1602569662
298	0.1600866155
299	0.1591595654
300	0.1589622698
301	0.1584281409
302	0.1582299145
303	0.1579086325
304	0.1572235736
305	0.1567743011
306	0.1565868288
307	0.1561736086
308	0.1553871159
309	0.154385037
310	0.1535836223
311	0.1530921163
312	0.1520328995
313	0.1516550863
314	0.1511509298
315	0.1503352327
316	0.1498562467
317	0.1497270384
318	0.1493546622
319	0.1487082713
320	0.148580887
321	0.1484950576
322	0.1480855764
323	0.1479893601
324	0.147288715
325	0.1465614939
326	0.1459905766
327	0.1452917427
328	0.1444952667
329	0.1440462108
330	0.1433109192
331	0.1429160822
332	0.1423817556
333	0.1415755955
334	0.1407981716
335	0.1404539615
336	0.1400835958
337	0.1394767452
