iter	Passed	Remaining
0	0	879
1	1	804
2	2	811
3	3	798
4	3	777
5	4	768
6	5	779
7	6	805
8	7	813
9	8	829
10	9	840
11	10	841
12	11	844
13	12	846
14	12	845
15	13	852
16	14	852
17	15	856
18	16	863
19	17	870
20	18	872
21	19	868
22	20	869
23	21	869
24	22	877
25	23	880
26	24	880
27	25	880
28	26	882
29	27	889
30	28	890
31	29	895
32	30	900
33	31	902
34	32	902
35	33	899
36	34	895
37	35	893
38	36	894
39	37	891
40	38	890
41	39	893
42	40	894
43	41	896
44	42	894
45	43	896
46	44	892
47	44	892
48	45	891
49	46	890
50	47	890
51	48	891
52	49	892
53	51	895
54	52	894
55	53	894
56	54	894
57	55	894
58	56	893
59	57	894
60	58	893
61	58	892
62	59	892
63	60	891
64	61	891
65	63	892
66	64	891
67	64	889
68	65	888
69	66	887
70	67	885
71	68	883
72	69	881
73	70	879
74	71	878
75	72	878
76	73	877
77	74	876
78	75	874
79	75	872
80	76	871
81	77	871
82	78	870
83	79	869
84	80	868
85	81	867
86	82	868
87	83	866
88	84	866
89	85	864
90	86	862
91	87	861
92	88	861
93	89	863
94	90	863
95	91	862
96	92	862
97	93	862
98	94	861
99	95	859
100	96	858
101	97	856
102	98	854
103	99	854
104	100	852
105	100	851
106	101	849
107	102	849
108	103	847
109	104	846
110	105	845
111	106	844
112	107	843
113	108	845
114	109	845
115	111	846
116	112	845
117	112	844
118	113	843
119	114	842
120	116	843
121	117	843
122	117	841
123	118	840
124	119	839
125	120	838
126	121	837
127	122	836
128	123	834
129	124	833
130	125	832
131	126	831
132	127	831
133	128	829
134	129	829
135	130	828
136	131	828
137	132	828
138	133	827
139	134	827
140	135	826
141	136	825
142	137	823
143	138	822
144	139	821
145	140	821
146	141	820
147	142	819
148	143	818
149	144	817
150	145	816
151	146	814
152	147	814
153	147	812
154	148	811
155	149	810
156	150	808
157	151	807
158	152	807
159	153	805
160	154	804
161	155	804
162	156	803
163	157	802
164	158	801
165	159	800
166	160	799
167	161	798
168	162	796
169	162	795
170	163	794
171	164	793
172	165	791
173	166	790
174	167	789
175	168	788
176	169	787
177	170	786
178	171	785
179	172	785
180	173	783
181	174	782
182	175	782
183	176	781
184	177	780
185	177	778
186	178	777
187	179	776
188	180	775
189	181	774
190	182	773
191	183	773
192	184	772
193	185	770
194	186	769
195	187	769
196	188	767
197	189	767
198	190	765
199	191	764
200	192	763
201	192	762
202	194	761
203	194	760
204	195	759
205	196	758
206	197	757
207	198	757
208	199	756
209	201	756
210	202	756
211	203	756
212	204	756
213	205	756
214	207	756
215	208	755
216	209	754
217	210	753
218	211	753
219	212	752
220	213	750
221	213	749
222	214	747
223	215	746
224	216	744
225	216	742
226	217	741
227	218	739
228	219	737
229	219	736
230	220	734
231	221	733
232	222	732
233	223	730
234	224	729
235	224	727
236	225	726
237	226	725
238	227	723
239	228	722
240	228	721
241	229	719
242	230	718
243	231	716
244	232	715
245	232	713
246	233	713
247	234	711
248	235	710
249	236	709
250	237	708
251	238	706
252	238	705
253	239	703
254	240	702
255	241	701
256	242	699
257	242	698
258	243	697
259	244	696
260	245	694
261	246	693
262	247	692
263	248	692
264	249	691
265	250	690
266	251	689
267	251	687
268	252	686
269	253	685
270	254	684
271	255	683
272	256	682
273	256	680
274	257	680
275	258	678
276	259	677
277	260	676
278	261	674
279	261	673
280	262	672
281	264	672
282	265	673
283	266	672
284	267	670
285	268	669
286	269	668
287	269	667
288	270	666
289	271	664
290	272	662
291	272	661
292	273	661
293	274	660
294	275	659
295	276	658
296	277	657
297	278	656
298	279	655
299	280	654
300	281	653
301	282	652
302	283	651
303	283	650
304	284	649
305	285	647
306	286	646
307	287	645
308	288	644
309	288	643
310	289	642
311	290	640
312	291	639
313	292	639
314	293	638
315	294	637
316	295	636
317	296	635
318	297	634
319	297	633
320	298	632
321	299	630
322	300	629
323	301	628
324	302	627
325	302	626
326	303	625
327	304	624
328	305	623
329	306	622
330	307	621
331	308	620
332	309	620
333	310	619
334	311	618
335	312	616
336	313	615
337	314	615
338	314	614
339	315	613
340	316	612
341	317	610
342	318	609
343	319	608
344	319	607
345	320	606
346	321	605
347	322	604
348	323	602
349	323	601
350	324	600
351	325	599
352	326	599
353	327	598
354	328	597
355	329	595
356	330	595
357	331	594
358	332	593
359	333	592
360	333	590
361	334	589
362	335	588
363	336	587
364	337	586
365	337	585
366	338	584
367	339	583
368	340	582
369	341	581
370	342	580
